Date;Price_E;Open_E;High_E;Low_E;Vol.;Change %
14.07.2023;1938,05;2004,77;2025,56;1900,22;530,86K;-3,33%
13.07.2023;2004,77;1871,86;2010,75;1863,22;588,53K;7,10%
12.07.2023;1871,86;1878,33;1901,45;1865,11;280,91K;-0,34%
11.07.2023;1878,33;1880,42;1889,83;1863,93;191,47K;-0,11%
10.07.2023;1880,42;1862,91;1903,82;1846,71;264,83K;0,94%
09.07.2023;1862,91;1865,28;1878,22;1856,97;145,47K;-0,13%
08.07.2023;1865,28;1870,92;1873,16;1843,82;136,69K;-0,30%
07.07.2023;1870,92;1848,29;1877,51;1827,35;249,82K;1,22%
06.07.2023;1848,36;1910,43;1957,58;1847,01;483,00K;-3,25%
05.07.2023;1910,43;1936,21;1942,15;1896,43;284,34K;-1,33%
04.07.2023;1936,19;1955,56;1966,03;1931,64;226,10K;-0,99%
03.07.2023;1955,56;1937,57;1974,61;1934,51;346,33K;0,93%
02.07.2023;1937,57;1924,53;1958,36;1893,68;283,61K;0,68%
01.07.2023;1924,53;1933,8;1943,2;1909,92;189,41K;-0,48%
30.06.2023;1933,8;1851,92;1943,65;1837,49;765,42K;4,42%
29.06.2023;1851,92;1827,95;1878,86;1827,95;256,22K;1,31%
28.06.2023;1827,95;1889,51;1890,11;1821,94;356,71K;-3,26%
27.06.2023;1889,51;1859;1911,73;1856,19;386,05K;1,64%
26.06.2023;1859;1898,8;1906,07;1840,63;479,76K;-2,10%
25.06.2023;1898,8;1875;1929,61;1869,28;356,99K;1,27%
24.06.2023;1875;1891,98;1904,04;1865,77;239,37K;-0,90%
23.06.2023;1891,97;1872,29;1932,23;1864,6;428,03K;1,05%
22.06.2023;1872,32;1889,87;1931,6;1866,66;438,75K;-0,93%
21.06.2023;1889,87;1791,64;1899,11;1787,59;653,63K;5,48%
20.06.2023;1791,61;1737,06;1793,35;1715,2;359,77K;3,14%
19.06.2023;1737,06;1720,98;1748,05;1706,4;263,64K;0,93%
18.06.2023;1720,98;1727,79;1746,4;1715,9;167,46K;-0,39%
17.06.2023;1727,79;1717,92;1764,06;1714,3;227,93K;0,57%
16.06.2023;1717,92;1666,96;1728,35;1653,68;333,35K;3,06%
15.06.2023;1666,96;1650,96;1678,94;1632,5;397,40K;0,97%
14.06.2023;1650,96;1739,6;1749,9;1636,49;451,13K;-5,10%
13.06.2023;1739,6;1742,6;1763,15;1727,64;303,23K;-0,17%
12.06.2023;1742,6;1752,8;1757,79;1722,92;320,47K;-0,58%
11.06.2023;1752,8;1751,56;1775,87;1740,02;232,04K;0,07%
10.06.2023;1751,56;1840,41;1844,23;1719,16;696,59K;-4,83%
09.06.2023;1840,41;1845,68;1854,72;1828,66;215,71K;-0,29%
08.06.2023;1845,68;1832,1;1860,53;1829,38;202,78K;0,74%
07.06.2023;1832,1;1884,63;1893,73;1823,42;454,83K;-2,76%
06.06.2023;1884,17;1811,19;1895,79;1800,75;518,57K;4,03%
05.06.2023;1811,2;1890;1890,53;1782,82;588,61K;-4,17%
04.06.2023;1890,04;1892,05;1914,12;1884,54;183,07K;-0,11%
03.06.2023;1892,05;1907,1;1907,9;1884,17;157,10K;-0,79%
02.06.2023;1907,1;1861,77;1910,01;1847,84;329,16K;2,43%
01.06.2023;1861,77;1873,62;1888,07;1846,23;286,98K;-0,63%
31.05.2023;1873,63;1900,59;1906,21;1852;337,87K;-1,42%
30.05.2023;1900,59;1892,61;1915,91;1882,97;288,67K;0,42%
29.05.2023;1892,61;1908,37;1925,74;1878,33;338,07K;-0,83%
28.05.2023;1908,35;1829,91;1914,92;1824,7;401,09K;4,29%
27.05.2023;1829,91;1827,8;1835,94;1817,35;147,46K;0,12%
26.05.2023;1827,8;1805,62;1837,39;1798,1;290,89K;1,22%
25.05.2023;1805,69;1799,91;1817,05;1764,92;370,60K;0,32%
24.05.2023;1799,91;1854,08;1854,08;1781,7;441,64K;-2,92%
23.05.2023;1854,08;1817,19;1868,89;1815,41;428,05K;2,03%
22.05.2023;1817,19;1804,89;1827,38;1792,35;250,27K;0,68%
21.05.2023;1804,89;1819,66;1827,47;1799,03;170,05K;-0,81%
20.05.2023;1819,68;1812,32;1828,06;1807,08;134,46K;0,41%
19.05.2023;1812,32;1800,95;1829,33;1796,99;253,50K;0,63%
18.05.2023;1800,99;1822,12;1831,51;1774,77;311,24K;-1,14%
17.05.2023;1821,73;1823,98;1834,44;1785,78;376,26K;-0,12%
16.05.2023;1823,98;1817,11;1830,01;1797,6;325,77K;0,38%
15.05.2023;1817,11;1799,36;1845,27;1786,61;405,84K;0,99%
14.05.2023;1799,36;1795,11;1822,93;1791,86;229,74K;0,25%
13.05.2023;1794,95;1807,31;1814,55;1786,23;223,65K;-0,68%
12.05.2023;1807,31;1794,71;1812,46;1741,48;598,87K;0,70%
11.05.2023;1794,71;1840,92;1841,04;1774,3;548,42K;-2,51%
10.05.2023;1840,92;1846,56;1886,83;1797,07;685,11K;-0,31%
09.05.2023;1846,56;1847,48;1858,57;1832,05;318,79K;-0,05%
08.05.2023;1847,48;1871,03;1883,54;1813,63;667,82K;-1,26%
07.05.2023;1870,99;1896,48;1931,39;1870,94;441,65K;-1,34%
06.05.2023;1896,48;1993,33;2013,1;1868,09;658,63K;-4,86%
05.05.2023;1993,33;1877,06;1996,64;1875,66;589,05K;6,19%
04.05.2023;1877,06;1904,76;1915,15;1868,18;372,69K;-1,45%
03.05.2023;1904,74;1869,74;1915;1844,72;489,66K;1,87%
02.05.2023;1869,74;1830,75;1878,7;1823,25;391,27K;2,13%
01.05.2023;1830,75;1869,05;1885,7;1807,3;475,92K;-2,04%
30.04.2023;1868,88;1907,8;1937,86;1868,88;377,71K;-2,04%
29.04.2023;1907,8;1890,93;1915,9;1886,27;193,47K;0,88%
28.04.2023;1891,14;1908,79;1922,85;1875,03;408,45K;-0,93%
27.04.2023;1908,81;1866,05;1937,55;1862,37;771,48K;2,29%
26.04.2023;1866,05;1865,95;1963,46;1793,76;958,23K;0,01%
25.04.2023;1865,95;1841,88;1877,54;1804,2;491,98K;1,31%
24.04.2023;1841,88;1862,04;1889,09;1809,8;480,28K;-1,08%
23.04.2023;1862,05;1873,96;1881,92;1839,05;368,77K;-0,63%
22.04.2023;1873,95;1848,88;1886,22;1845,73;351,72K;1,30%
21.04.2023;1849,81;1942,72;1955,35;1831,47;769,94K;-4,78%
20.04.2023;1942,72;1935,97;1977,95;1917,71;665,65K;0,35%
19.04.2023;1935,97;2103,36;2104,31;1925;855,36K;-7,96%
18.04.2023;2103,34;2074,74;2121,27;2056,86;437,10K;1,38%
17.04.2023;2074,74;2118,61;2119,18;2062,17;448,14K;-2,10%
16.04.2023;2119,29;2090,59;2137,56;2073,26;342,43K;1,37%
15.04.2023;2090,59;2099,98;2110,3;2074,33;340,60K;-0,45%
14.04.2023;2099,98;2012,12;2127,56;2009,53;957,03K;4,37%
13.04.2023;2012,11;1916,59;2018,73;1899,96;721,56K;4,98%
12.04.2023;1916,58;1889,86;1930,46;1857,35;669,43K;1,41%
11.04.2023;1889,86;1910,35;1935,75;1884,64;428,26K;-1,07%
